State,Month,Measure,Units,Value
Maharashtra,01-03-2021,Energy Requirement,MU,16375
Manipur,01-03-2021,Energy Requirement,MU,78
Meghalaya,01-03-2021,Energy Requirement,MU,186
Mizoram,01-03-2021,Energy Requirement,MU,53
Nagaland,01-03-2021,Energy Requirement,MU,64
Odisha,01-03-2021,Energy Requirement,MU,2942
Puducherry,01-03-2021,Energy Requirement,MU,227
Punjab,01-03-2021,Energy Requirement,MU,4049
Rajasthan,01-03-2021,Energy Requirement,MU,7279
Sikkim,01-03-2021,Energy Requirement,MU,51
Tamil Nadu,01-03-2021,Energy Requirement,MU,9476
Telangana,01-03-2021,Energy Requirement,MU,7574
Tripura,01-03-2021,Energy Requirement,MU,221
Uttar Pradesh,01-03-2021,Energy Requirement,MU,9848
Uttarakhand,01-03-2021,Energy Requirement,MU,1146
West Bengal,01-03-2021,Energy Requirement,MU,5373
Andhra Pradesh,01-04-2021,Energy Met,MU,5880
Arunachal Pradesh,01-04-2021,Energy Met,MU,67
Assam,01-04-2021,Energy Met,MU,836
Bihar,01-04-2021,Energy Met,MU,3275
Chandigarh,01-04-2021,Energy Met,MU,105
Chhattisgarh,01-04-2021,Energy Met,MU,3233
DNH & DDU,01-04-2021,Energy Met,MU,767
Delhi,01-04-2021,Energy Met,MU,2230
Goa,01-04-2021,Energy Met,MU,349
Gujarat,01-04-2021,Energy Met,MU,11803
Haryana,01-04-2021,Energy Met,MU,3862
Himachal Pradesh,01-04-2021,Energy Met,MU,844
Jammu & Kashmir,01-04-2021,Energy Met,MU,1572
Jharkhand,01-04-2021,Energy Met,MU,930
Karnataka,01-04-2021,Energy Met,MU,6885
Kerala,01-04-2021,Energy Met,MU,2263
Madhya Pradesh,01-04-2021,Energy Met,MU,6957
Maharashtra,01-04-2021,Energy Met,MU,16080
Manipur,01-04-2021,Energy Met,MU,73
Meghalaya,01-04-2021,Energy Met,MU,151
Mizoram,01-04-2021,Energy Met,MU,52
Nagaland,01-04-2021,Energy Met,MU,62
Odisha,01-04-2021,Energy Met,MU,3078
Puducherry,01-04-2021,Energy Met,MU,251
Punjab,01-04-2021,Energy Met,MU,3700
Rajasthan,01-04-2021,Energy Met,MU,6412
Sikkim,01-04-2021,Energy Met,MU,45
Tamil Nadu,01-04-2021,Energy Met,MU,9779
Telangana,01-04-2021,Energy Met,MU,6356
Tripura,01-04-2021,Energy Met,MU,240
Uttar Pradesh,01-04-2021,Energy Met,MU,10122
Uttarakhand,01-04-2021,Energy Met,MU,1108
West Bengal,01-04-2021,Energy Met,MU,5664
Andhra Pradesh,01-04-2021,Energy Requirement,MU,5881
Arunachal Pradesh,01-04-2021,Energy Requirement,MU,67
Assam,01-04-2021,Energy Requirement,MU,855
Bihar,01-04-2021,Energy Requirement,MU,3293
Chandigarh,01-04-2021,Energy Requirement,MU,105
Chhattisgarh,01-04-2021,Energy Requirement,MU,3234
DNH & DDU,01-04-2021,Energy Requirement,MU,767
Delhi,01-04-2021,Energy Requirement,MU,2230
Goa,01-04-2021,Energy Requirement,MU,350
Gujarat,01-04-2021,Energy Requirement,MU,11803
Haryana,01-04-2021,Energy Requirement,MU,3870
Himachal Pradesh,01-04-2021,Energy Requirement,MU,845
Jammu & Kashmir,01-04-2021,Energy Requirement,MU,1764
Jharkhand,01-04-2021,Energy Requirement,MU,966
Karnataka,01-04-2021,Energy Requirement,MU,6886
Kerala,01-04-2021,Energy Requirement,MU,2263
Madhya Pradesh,01-04-2021,Energy Requirement,MU,6957
Maharashtra,01-04-2021,Energy Requirement,MU,16080
Manipur,01-04-2021,Energy Requirement,MU,74
Meghalaya,01-04-2021,Energy Requirement,MU,164
Mizoram,01-04-2021,Energy Requirement,MU,52
Nagaland,01-04-2021,Energy Requirement,MU,62
Odisha,01-04-2021,Energy Requirement,MU,3078
Puducherry,01-04-2021,Energy Requirement,MU,251
Punjab,01-04-2021,Energy Requirement,MU,3707
Rajasthan,01-04-2021,Energy Requirement,MU,6416
